rate,stage,metric,n_runs,source,point_ms,ci_lo_ms,ci_hi_ms
PP_96.0x,detector_total,P50,3,phase_b_offline,21.193,21.191,21.197
PP_96.0x,detector_total,P95,3,phase_b_offline,21.386,21.384,21.393
PP_96.0x,detector_total,P99,3,phase_b_offline,21.554,21.532,21.588
PP_96.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_96.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_96.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_96.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_96.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_96.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_98.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_98.0x,feature_extraction,P95,3,phase_b_offline,0.043,0.041,0.046
PP_98.0x,feature_extraction,P99,3,phase_b_offline,0.054,0.052,0.057
PP_98.0x,rf_predict,P50,3,phase_b_offline,21.157,21.15,21.166
PP_98.0x,rf_predict,P95,3,phase_b_offline,21.348,21.338,21.362
PP_98.0x,rf_predict,P99,3,phase_b_offline,21.5,21.481,21.516
PP_98.0x,detector_total,P50,3,phase_b_offline,21.186,21.179,21.194
PP_98.0x,detector_total,P95,3,phase_b_offline,21.379,21.369,21.392
PP_98.0x,detector_total,P99,3,phase_b_offline,21.536,21.518,21.549
PP_98.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_98.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_98.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_98.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_98.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_98.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_98.5x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.028
PP_98.5x,feature_extraction,P95,3,phase_b_offline,0.047,0.042,0.049
PP_98.5x,feature_extraction,P99,3,phase_b_offline,0.055,0.053,0.056
PP_98.5x,rf_predict,P50,3,phase_b_offline,21.163,21.157,21.169
PP_98.5x,rf_predict,P95,3,phase_b_offline,21.357,21.346,21.365
PP_98.5x,rf_predict,P99,3,phase_b_offline,21.526,21.515,21.54
PP_98.5x,detector_total,P50,3,phase_b_offline,21.193,21.186,21.2
PP_98.5x,detector_total,P95,3,phase_b_offline,21.388,21.378,21.395
PP_98.5x,detector_total,P99,3,phase_b_offline,21.564,21.549,21.582
PP_98.5x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_98.5x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_98.5x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_98.5x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_98.5x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_98.5x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_98.75x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.028
PP_98.75x,feature_extraction,P95,3,phase_b_offline,0.044,0.042,0.046
PP_98.75x,feature_extraction,P99,3,phase_b_offline,0.054,0.054,0.054
PP_98.75x,rf_predict,P50,3,phase_b_offline,21.163,21.16,21.166
PP_98.75x,rf_predict,P95,3,phase_b_offline,21.356,21.352,21.364
PP_98.75x,rf_predict,P99,3,phase_b_offline,21.514,21.496,21.53
PP_98.75x,detector_total,P50,3,phase_b_offline,21.193,21.19,21.196
PP_98.75x,detector_total,P95,3,phase_b_offline,21.387,21.384,21.394
PP_98.75x,detector_total,P99,3,phase_b_offline,21.548,21.53,21.576
PP_98.75x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_98.75x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_98.75x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_98.75x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_98.75x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
